release_date,release_date,cpi_value
2005-06-15,2005-06-15,193.6
2005-07-14,2005-07-14,193.7
2005-08-16,2005-08-16,194.9
2005-09-15,2005-09-15,196.1
2005-10-14,2005-10-14,198.8
2005-11-16,2005-11-16,199.1
2005-12-15,2005-12-15,198.1
2006-01-18,2006-01-18,198.1
2006-02-17,2006-02-17,199.3
2006-03-16,2006-03-16,199.4
2006-04-19,2006-04-19,199.7
2006-05-17,2006-05-17,200.7
2006-06-14,2006-06-14,201.3
2006-07-19,2006-07-19,201.8
2006-08-16,2006-08-16,202.9
2006-09-15,2006-09-15,203.8
2006-10-18,2006-10-18,202.8
2006-11-16,2006-11-16,201.9
2006-12-15,2006-12-15,202.0
2007-01-18,2007-01-18,203.1
2007-02-16,2007-02-16,203.437
2007-03-16,2007-03-16,204.226
2007-04-17,2007-04-17,205.288
2007-05-15,2007-05-15,205.904
2007-06-15,2007-06-15,206.755
2007-07-18,2007-07-18,207.234
2007-08-15,2007-08-15,207.603
2007-09-19,2007-09-19,207.667
2007-10-17,2007-10-17,208.547
2007-11-15,2007-11-15,209.19
2007-12-14,2007-12-14,210.834
2008-01-16,2008-01-16,211.445
2008-02-15,2008-02-15,212.174
2008-03-14,2008-03-14,212.687
2008-04-16,2008-04-16,213.448
2008-05-14,2008-05-14,213.942
2008-06-13,2008-06-13,215.208
2008-07-16,2008-07-16,217.463
2008-08-14,2008-08-14,219.016
2008-09-16,2008-09-16,218.69
2008-10-16,2008-10-16,218.877
2008-11-19,2008-11-19,216.995
2008-12-16,2008-12-16,213.153
2009-01-16,2009-01-16,211.398
2009-02-18,2009-02-18,211.933
2009-03-18,2009-03-18,212.705
2009-04-15,2009-04-15,212.495
2009-05-15,2009-05-15,212.709
2009-06-17,2009-06-17,213.022
2009-07-15,2009-07-15,214.79
2009-08-14,2009-08-14,214.726
2009-09-16,2009-09-16,215.445
2009-10-15,2009-10-15,215.861
2009-11-18,2009-11-18,216.509
2009-12-16,2009-12-16,217.234
2010-01-15,2010-01-15,217.347
2010-02-17,2010-02-17,217.488
2010-03-18,2010-03-18,217.281
2010-04-14,2010-04-14,217.353
2010-05-19,2010-05-19,217.403
2010-06-17,2010-06-17,217.29
2010-07-16,2010-07-16,217.199
2010-08-13,2010-08-13,217.605
2010-09-17,2010-09-17,217.923
2010-10-15,2010-10-15,218.275
2010-11-17,2010-11-17,219.035
2010-12-15,2010-12-15,219.59
2011-01-14,2011-01-14,220.472
2011-02-15,2011-02-15,221.187
2011-03-17,2011-03-17,221.898
2011-04-15,2011-04-15,223.046
2011-05-13,2011-05-13,224.093
2011-06-15,2011-06-15,224.806
2011-07-15,2011-07-15,224.806
2011-08-18,2011-08-18,225.395
2011-09-15,2011-09-15,226.106
